param_value,n_nodes,run_id,tau
0.4,10,13,2506
0.4,10,14,2575
0.4,10,15,2406
0.4,10,16,2118
0.4,10,17,2470
0.4,10,18,2801
0.4,10,19,2836
0.4,10,20,2844
0.4,10,21,2283
0.4,10,22,2490
0.4,10,23,2191
0.4,10,24,2300
0.4,10,25,2914
0.4,10,26,2557
0.4,10,27,2104
0.4,10,28,2691
0.4,10,29,2227
0.4,10,30,2740
0.4,10,31,2705
0.4,10,32,2567
0.4,10,33,2383
0.4,10,34,2242
0.4,10,35,2592
0.4,10,36,2730
0.4,10,37,2267
0.4,10,38,2234
0.4,10,39,2537
0.4,10,40,2724
0.4,10,41,2982
0.4,10,42,2297
0.4,10,43,3022
0.4,10,44,2696
0.4,10,45,2070
0.4,10,46,2311
0.4,10,47,2442
0.4,10,48,2866
0.4,10,49,2871
0.4,10,50,2803
0.4,10,51,2747
0.4,10,52,2753
0.4,10,53,2524
0.4,10,54,2520
0.4,10,55,2678
0.4,10,56,2149
0.4,10,57,2317
0.4,10,58,2124
0.4,10,59,2404
0.4,10,60,2241
